x,y,z
327.64343,133.46892,8
431.38008,263.57699,8
528.31272,209.38593,8
24.95002,301.48858,8
393.74068,-9.85848,8
326.1293,-394.79855,108
264.14989,37.93949,8
526.53995,-478.69513,8
205.02374,114.05923,8
485.69062,-205.61478,8
35.26575,372.57978,8
427.63356,449.43974,8
521.56219,246.75078,8
282.51772,-455.6948,8
30.45025,-146.19038,8
445.48348,243.25649,8
549.973,271.48131,8
302.3577,-449.56583,8
93.80369,269.10216,8
439.60303,-463.97141,8
177.68103,227.38772,8
408.66509,-406.50271,8
327.64343,-133.46892,8
0.68004,279.8544,108
128.74458,197.90589,8
93.80369,-269.10216,8
457.74992,-81.50176,8
368.81747,535.20534,471.66666
549.973,-271.48131,8
436.83538,362.37517,8
327.25497,-96.1826,108
21.81394,143.93734,8
176.25931,-182.20967,8
192.04047,-475.27551,8
178.7007,230.75824,8
188.34628,-441.66071,8
113.38739,463.70976,8
296.67982,42.70003,8
94.62412,154.06159,8
1.68672,-75.26902,8
293.66488,-487.50218,296.41901
62.13254,391.91971,8
493.86791,298.14307,8
116.93037,509.28672,296.41901
574.28579,166.84183,108
311.68714,272.20229,8
114.1992,-503.21575,296.41901
96.06136,355.00819,8
519.37068,-438.00674,8
167.34793,-417.38538,8
165.85168,195.25959,8
569.82814,-459.46103,8
385.82971,173.32947,8
84.23782,205.82807,8
392.38734,43.63311,8
479.30701,55.79013,8
493.73624,261.41513,8
441.83272,509.2019,296.41901
331.23842,-468.70365,8
80.46235,-214.33147,8
392.50272,505.17988,296.41901
394.20602,254.55435,8
295.29295,-9.13269,8
351.75147,299.10498,8
199.47399,-172.88874,8
219.05359,-378.88431,8
67.81632,63.98111,8
109.01525,-532.7155,471.66666
133.87295,228.73795,8
399.08098,357.44623,8
322.7055,-152.9415,8
52.87665,-141.06614,8
230.09815,242.81321,8
52.09798,-300.18093,8
334.65497,-390.94846,8
242.81267,-186.18188,8
14.38495,267.53589,8
405.58013,54.52921,8
331.13345,-489.63981,8
39.44042,19.48688,8
3.13672,187.87829,108
536.84001,481.31,8
405.58013,-54.52921,8
547.4822,136.55871,8
198.54835,-383.0052,8
311.68714,-272.20229,8
457.34937,-431.84479,8
58.85435,-443.36917,8
352.87036,16.39653,8
126.67189,-197.5284,8
284.54155,-223.29575,8
309.90094,47.77377,8
245.02249,362.50002,8
226.52676,355.83555,8
183.2472,-225.26952,8
165.85168,-195.25959,8
538.47603,-157.32661,8
171.64459,143.75295,8
246.49914,96.27071,8
163.53542,93.98311,8
448.1125,-461.52636,8
218.83741,499.69179,296.41901
158.89564,-190.20905,8
342.82208,-411.02625,8
73.36516,539.19723,471.66666
582.47951,148.28093,8
302.3577,449.56583,8
429.63939,537.34158,471.66666
404.95761,-530.26053,296.41901
147.57541,-375.82708,8
20.10684,-375.54671,8
565.76715,-115.18625,8
193.1434,-456.12521,8
245.59655,-287.19945,8
511.29347,254.66781,8
182.98851,72.17575,8
195.38161,442.38411,8
436.83538,-362.37517,8
520.36574,507.88211,296.41901
